park,ride,type,day,hour,wait
Magic Kingdom,Astro Orbiter,Standby,2023-09-06,16:00,10
Magic Kingdom,Barnstormer,Standby,2023-09-06,16:00,5
Magic Kingdom,Big Thunder Mountain Railroad,Standby,2023-09-06,16:00,25
Magic Kingdom,Buzz Lightyear's Space Ranger Spin,Standby,2023-09-06,16:00,20
Magic Kingdom,Country Bear Jamboree,Standby,2023-09-06,16:00,0
Magic Kingdom,Dumbo the Flying Elephant,Standby,2023-09-06,16:00,5
Magic Kingdom,Enchanted Tales with Belle,Standby,2023-09-06,16:00,35
Magic Kingdom,Hall of Presidents,Standby,2023-09-06,16:00,15
Magic Kingdom,Haunted Mansion,Standby,2023-09-06,16:00,40
Magic Kingdom,It's a small world,Standby,2023-09-06,16:00,5
Magic Kingdom,Jungle Cruise,Standby,2023-09-06,16:00,35
Magic Kingdom,Liberty Square Riverboat,Standby,2023-09-06,16:00,15
Magic Kingdom,Mad Tea Party,Standby,2023-09-06,16:00,5
Magic Kingdom,Magic Carpets of Aladdin,Standby,2023-09-06,16:00,5
Magic Kingdom,Many Adventure of Winnie the Pooh,Standby,2023-09-06,16:00,40
Magic Kingdom,Meet Ariel at Her Grotto,Standby,2023-09-06,16:00,45
Magic Kingdom,Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,Standby,2023-09-06,16:00,35
Magic Kingdom,Meet Daring Disney Pals as Circus Stars at Pete's Silly Sideshow,Standby,2023-09-06,16:00,20
Magic Kingdom,Meet Dashing Disney Pals as Circus Stars at Pete's Silly Sideshow,Standby,2023-09-06,16:00,30
Magic Kingdom,Meet Mickey at Town Square Theater,Standby,2023-09-06,16:00,45
Magic Kingdom,Meet Princess Tiana and a Visiting Princess at Princess Fairytale Hall,Standby,2023-09-06,16:00,50
Magic Kingdom,Mickey's PhilharMagic,Standby,2023-09-06,16:00,10
Magic Kingdom,Monsters Inc. Laugh Floor,Standby,2023-09-06,16:00,15
Magic Kingdom,Peter Pan's Flight,Standby,2023-09-06,16:00,80
Magic Kingdom,Pirates of the Caribbean,Standby,2023-09-06,16:00,20
Magic Kingdom,Prince Charming Regal Carrousel,Standby,2023-09-06,16:00,5
Magic Kingdom,Seven Dwarfs Mine Train,Standby,2023-09-06,16:00,65
Magic Kingdom,Space Mountain,Standby,2023-09-06,16:00,na
